epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.83,2.30745,3.29188,2.11041,0.00361,0.55319,0.07554,0.03639,2.28221,3.39665,2.10093,0.0001,0.0001,0.0001
2,26.2558,1.90412,2.87512,1.80049,0.00403,0.61702,0.08518,0.02739,2.06995,3.32405,2.02953,0.000215644,0.000215644,0.000215644
3,40.6272,1.77066,2.63067,1.76277,0.00361,0.55319,0.12825,0.04732,2.38634,3.45826,2.15781,0.000326536,0.000326536,0.000326536
4,52.9448,1.78493,2.53586,1.67762,0.00375,0.57447,0.07134,0.02314,2.44648,3.51613,2.25694,0.000432676,0.000432676,0.000432676
5,63.3533,1.76895,2.50138,1.64236,0.00361,0.55319,0.06608,0.0217,2.41615,3.43694,2.19246,0.000534064,0.000534064,0.000534064
6,73.7144,1.76943,2.51827,1.65888,0.00292,0.44681,0.07328,0.02548,2.63855,3.51204,2.32972,0.0006307,0.0006307,0.0006307
7,84.3446,1.73581,2.44892,1.60831,0.01852,0.40426,0.07265,0.02098,2.48539,3.45112,2.58154,0.000722584,0.000722584,0.000722584
8,98.1959,1.8077,2.48359,1.66677,0.00222,0.34043,0.07372,0.02824,2.71313,3.80101,3.11609,0.000809716,0.000809716,0.000809716
9,114.451,1.76412,2.36381,1.60435,0.11136,0.08511,0.05047,0.00998,3.15877,3.67194,3.06192,0.000892096,0.000892096,0.000892096
10,130.473,1.76574,2.3863,1.67892,0.15673,0.19149,0.10288,0.02989,2.53357,3.35513,2.48445,0.000969724,0.000969724,0.000969724
11,141.175,1.75352,2.35285,1.68429,0.39086,0.17021,0.12439,0.03544,2.43651,3.39447,2.66823,0.0010426,0.0010426,0.0010426
12,152.147,1.82007,2.26189,1.63253,0.17599,0.21819,0.12234,0.02876,2.59629,3.64919,2.76136,0.00111072,0.00111072,0.00111072
13,163.978,1.77259,2.24447,1.66897,0.09772,0.23404,0.04689,0.01237,2.41942,4.44465,2.53869,0.0011741,0.0011741,0.0011741
14,176.931,1.75024,2.24214,1.57679,0.09941,0.2766,0.0802,0.02848,2.125,3.2531,2.21212,0.00123272,0.00123272,0.00123272
15,189.476,1.71242,2.20977,1.61034,0.08933,0.19149,0.05804,0.02482,2.23266,3.56647,2.27926,0.00128658,0.00128658,0.00128658
16,200.475,1.7092,2.16874,1.62563,0.51319,0.12766,0.12317,0.03425,2.5225,4.74343,2.87411,0.0013357,0.0013357,0.0013357
17,211.189,1.77454,2.23036,1.66878,0.34337,0.20046,0.13598,0.03757,2.28228,4.80856,2.64959,0.0013664,0.0013664,0.0013664
18,222.085,1.70676,2.21972,1.61673,0.38838,0.19149,0.1873,0.06512,2.37229,3.59998,3.03799,0.0013268,0.0013268,0.0013268
19,232.855,1.67914,2.20434,1.58564,0.33194,0.23404,0.15315,0.05374,2.35445,3.46864,3.04695,0.0012872,0.0012872,0.0012872
20,243.643,1.67135,2.09216,1.57146,0.38591,0.25532,0.17181,0.05071,2.32654,3.73927,2.69697,0.0012476,0.0012476,0.0012476
21,254.493,1.55095,2.05745,1.50839,0.31039,0.23404,0.20316,0.05146,2.23847,3.84512,2.45837,0.001208,0.001208,0.001208
22,265.207,1.66848,2.08993,1.5701,0.31888,0.25532,0.17814,0.06001,2.12461,3.86592,2.07694,0.0011684,0.0011684,0.0011684
23,276.08,1.68827,2.14731,1.5698,0.40126,0.21277,0.14788,0.05981,2.08887,3.50253,2.07279,0.0011288,0.0011288,0.0011288
24,287.167,1.66816,2.09305,1.56626,0.19702,0.31915,0.12401,0.04901,2.34322,3.63711,2.49505,0.0010892,0.0010892,0.0010892
25,298.161,1.67826,2.08911,1.61233,0.24471,0.2766,0.1777,0.06471,2.37063,3.80332,2.52159,0.0010496,0.0010496,0.0010496
26,309.2,1.59923,2.02594,1.50486,0.27718,0.29787,0.14592,0.05077,2.28465,3.5719,2.46812,0.00101,0.00101,0.00101
27,320.158,1.55175,1.96373,1.4577,0.25129,0.34043,0.17626,0.05249,2.36774,3.24301,2.43051,0.0009704,0.0009704,0.0009704
28,331.112,1.5491,1.9351,1.46353,0.41294,0.17021,0.14482,0.05537,2.39107,2.87832,2.43173,0.0009308,0.0009308,0.0009308
29,341.98,1.53614,1.86759,1.45617,0.19621,0.32727,0.12199,0.05089,2.31728,2.93435,2.32852,0.0008912,0.0008912,0.0008912
30,354.473,1.51607,1.85053,1.45102,0.41804,0.17021,0.14538,0.04832,2.48095,2.84306,2.51506,0.0008516,0.0008516,0.0008516
31,367.033,1.54334,1.89525,1.47312,0.44844,0.14894,0.17701,0.06065,2.41411,2.72062,2.43399,0.000812,0.000812,0.000812
32,379.235,1.54692,1.90895,1.4984,0.48688,0.3617,0.26762,0.10171,2.23319,2.52468,2.34549,0.0007724,0.0007724,0.0007724
33,391.526,1.56461,1.88853,1.5199,0.442,0.29787,0.23535,0.08702,2.25371,2.63007,2.4356,0.0007328,0.0007328,0.0007328
34,403.611,1.49874,1.88885,1.45016,0.43589,0.29598,0.20931,0.0911,2.3657,2.68745,2.38136,0.0006932,0.0006932,0.0006932
35,415.639,1.47188,1.78714,1.42796,0.28331,0.25532,0.17141,0.08107,2.32466,2.66234,2.25542,0.0006536,0.0006536,0.0006536
36,427.761,1.5055,1.81383,1.44657,0.2327,0.23404,0.12487,0.06344,2.17516,2.74379,1.9884,0.000614,0.000614,0.000614
37,439.854,1.4538,1.8249,1.45055,0.22943,0.29787,0.14137,0.07306,2.11066,2.72667,2.00125,0.0005744,0.0005744,0.0005744
38,452.051,1.45733,1.74937,1.45525,0.44318,0.31915,0.22848,0.10192,2.00693,2.59415,2.00684,0.0005348,0.0005348,0.0005348
39,464.118,1.43537,1.78522,1.43277,0.31738,0.31915,0.23302,0.0997,1.94707,2.54623,2.00715,0.0004952,0.0004952,0.0004952
40,476.434,1.41178,1.73214,1.39638,0.16746,0.38298,0.14799,0.06723,2.04023,2.78101,2.0053,0.0004556,0.0004556,0.0004556
41,487.683,1.52578,2.14876,1.55546,0.23761,0.17021,0.11626,0.05382,2.07538,2.8493,2.00573,0.000416,0.000416,0.000416
42,498.548,1.51677,2.1329,1.53207,0.41504,0.25532,0.22409,0.10431,2.01231,2.60051,1.97536,0.0003764,0.0003764,0.0003764
43,508.914,1.44852,1.9542,1.46789,0.35498,0.24605,0.21967,0.11848,1.96003,2.55419,1.98517,0.0003368,0.0003368,0.0003368
44,519.411,1.41247,1.88626,1.43045,0.49575,0.23404,0.22908,0.12081,1.91301,2.52089,1.92016,0.0002972,0.0002972,0.0002972
45,529.642,1.44955,1.9063,1.50165,0.43014,0.2766,0.24986,0.12369,1.88267,2.48887,1.86179,0.0002576,0.0002576,0.0002576
46,539.959,1.34328,1.79743,1.44281,0.42508,0.29787,0.27864,0.1532,1.87992,2.37872,1.80469,0.000218,0.000218,0.000218
47,550.065,1.31442,1.77107,1.41011,0.38901,0.3617,0.32618,0.1776,1.89094,2.33755,1.82267,0.0001784,0.0001784,0.0001784
48,560.319,1.34606,1.80223,1.40653,0.45621,0.40426,0.36071,0.20079,1.86,2.24977,1.8585,0.0001388,0.0001388,0.0001388
49,571.787,1.36854,1.7548,1.41282,0.484,0.38298,0.35844,0.20494,1.84119,2.25919,1.85285,9.92e-05,9.92e-05,9.92e-05
50,583.482,1.26076,1.67447,1.37008,0.45768,0.37718,0.34319,0.19759,1.81648,2.22108,1.85992,5.96e-05,5.96e-05,5.96e-05
